,Hospitais,Hospitais,Hospitais,MedFarm,MedFarm,Ensino,Ensino,Ensino,Ensino,Ensino,Universidades,Universidades,Universidades,Abstencao,GanhoMes,GanhoMes,GanhoMes,PoderCompra,Hospedes,Hospedes
,Total,Oficial,Privado,Medico,Farmaceutico,Educação Pré-Escolar,Ensino Básico - 1º Ciclo,Ensino Básico - 2º Ciclo,Ensino Básico - 3º Ciclo,Ensino Secundário,Total,Público,Privado,Abstencao,Total,Masculino,Feminino,PoderCompra,Total,Hotéis
CHAVES,1,1,0,186.5,1008.8,21,17,5,4,4,1,0,1,57.1,944.0,1043.2,830.5,79.2,107403,88379
MONTALEGRE,0,0,0,695.7,904.4,3,3,2,2,2,0,0,0,62.5,853.9,892.1,807.8,62.4,8991,0
RIBEIRA-DE-PENA,0,0,0,1003.9,1505.9,4,2,2,2,1,0,0,0,61.6,1184.2,1327.6,897.1,63.3,24309,0
VALPACOS,0,0,0,425.0,826.4,8,4,2,2,1,0,0,0,58.3,838.0,874.8,801.3,59.4,1056,0
VILA-POUCA-DE-AGUIAR,0,0,0,443.9,749.1,10,3,2,2,1,0,0,0,55.0,966.8,1058.5,816.5,63.5,10229,0
AMARANTE,1,1,0,383.3,968.7,29,20,6,8,4,0,0,0,46.5,878.1,905.1,835.6,71.8,45239,0
BAIAO,0,0,0,855.4,1568.3,16,5,3,3,1,0,0,0,53.1,815.4,862.6,757.7,58.2,37445,0
CASTELO-DE-PAIVA,0,0,0,705.0,1292.5,19,13,2,2,1,0,0,0,42.6,827.6,865.5,793.1,65.7,23807,0
CELORICO-DE-BASTO,0,0,0,635.3,1732.5,16,4,3,4,2,0,0,0,46.7,764.0,792.5,733.0,56.1,10623,0
CINFAES,0,0,0,917.9,1019.8,11,11,2,3,2,0,0,0,51.2,844.3,875.0,766.1,56.9,8046,0
FELGUEIRAS,1,0,1,455.6,1527.0,38,29,7,9,6,1,1,0,43.3,845.4,916.7,767.4,81.6,6387,4592
LOUSADA,0,0,0,806.4,1612.8,28,27,7,8,5,0,0,0,41.8,821.7,901.5,742.2,71.1,9722,0
MARCO-DE-CANAVESES,1,0,1,644.7,1473.7,44,35,4,9,5,0,0,0,45.8,856.6,907.6,763.4,74.1,4333,0
PACOS-DE-FERREIRA,0,0,0,464.9,1289.1,21,16,6,9,5,0,0,0,43.4,846.3,890.0,794.2,79.4,9466,0
PENAFIEL,1,1,0,415.8,1042.5,45,37,5,8,4,1,0,1,38.9,939.9,972.1,905.4,78.9,50926,41964
RESENDE,0,0,0,566.1,1132.1,3,3,1,1,1,0,0,0,48.2,785.9,796.2,774.9,59.5,10347,0
ALIJO,0,0,0,969.5,888.7,11,6,2,2,1,0,0,0,53.6,886.1,959.9,809.4,63.6,34431,0
ARMAMAR,0,0,0,963.4,1926.8,2,1,1,1,1,0,0,0,51.1,844.3,889.2,793.7,63.3,12268,0
CARRAZEDA-DE-ANSIAES,0,0,0,945.8,1418.6,2,1,1,1,1,0,0,0,51.9,843.3,881.4,807.0,63.0,4717,0
FREIXO-DE-ESPADA-A-CINTA,0,0,0,826.3,1652.5,3,1,1,1,0,0,0,0,54.9,857.5,840.3,889.0,63.2,4165,0
LAMEGO,1,1,0,254.4,958.7,16,7,3,4,6,1,1,0,48.4,897.6,949.5,841.7,81.4,91131,0
MESAO-FRIO,0,0,0,361.8,796.0,1,1,1,1,1,0,0,0,52.6,916.6,1077.9,766.9,69.5,16566,0
MOIMENTA-DA-BEIRA,0,0,0,572.5,1390.4,5,3,1,2,2,0,0,0,55.5,810.5,859.9,758.1,66.3,2679,0
