,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M
,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
SAO-JOAO-DA-MADEIRA,987.0,1206.0,1391.0,1710.0,1874.0,1725.0,1239.0,1489.0,1013.0,1188.0,1372.0,1577.0,1616.0,1446.0,1064.0,1061.0
TROFA,1894.0,2285.0,2556.0,3101.0,3242.0,2728.0,1976.0,2102.0,1840.0,2336.0,2580.0,2993.0,3048.0,2482.0,1840.0,1414.0
VALE-DE-CAMBRA,829.0,1028.0,1229.0,1447.0,1581.0,1584.0,1388.0,1907.0,883.0,1139.0,1247.0,1467.0,1464.0,1474.0,1268.0,1393.0
VALONGO,5138.0,5327.0,6262.0,8859.0,7968.0,6900.0,5060.0,5193.0,5396.0,5632.0,5971.0,8203.0,7260.0,6094.0,4628.0,3552.0
VILA-DO-CONDE,4113.0,4443.0,4860.0,6685.0,6437.0,5551.0,4299.0,4864.0,4277.0,4703.0,4903.0,6405.0,6147.0,5025.0,3950.0,3236.0
VILA-NOVA-DE-GAIA,14562.0,16029.0,17830.0,25043.0,25131.0,22087.0,17003.0,19170.0,15189.0,16660.0,17412.0,23348.0,22815.0,19618.0,15468.0,13108.0
BOTICAS,157.0,198.0,245.0,249.0,293.0,390.0,393.0,657.0,163.0,190.0,223.0,262.0,324.0,363.0,349.0,542.0
CHAVES,1483.0,1815.0,2082.0,2483.0,2850.0,2912.0,2712.0,4175.0,1538.0,1956.0,2060.0,2464.0,2545.0,2828.0,2450.0,2988.0
MONTALEGRE,243.0,390.0,400.0,416.0,544.0,659.0,706.0,1287.0,230.0,421.0,410.0,407.0,549.0,695.0,638.0,1002.0
RIBEIRA-DE-PENA,206.0,298.0,317.0,331.0,393.0,445.0,412.0,676.0,245.0,320.0,272.0,376.0,394.0,460.0,339.0,531.0
VALPACOS,449.0,664.0,642.0,707.0,915.0,1128.0,1217.0,2095.0,463.0,617.0,657.0,704.0,905.0,1071.0,1077.0,1507.0
VILA-POUCA-DE-AGUIAR,415.0,619.0,561.0,641.0,818.0,918.0,915.0,1303.0,390.0,599.0,561.0,651.0,861.0,913.0,811.0,985.0
AMARANTE,2568.0,3441.0,3281.0,4043.0,4293.0,3729.0,2695.0,3647.0,2592.0,3414.0,3239.0,3676.0,4121.0,3472.0,2379.0,2604.0
BAIAO,859.0,1118.0,1225.0,1333.0,1452.0,1248.0,948.0,1602.0,872.0,1156.0,1225.0,1239.0,1433.0,1130.0,813.0,1094.0
CASTELO-DE-PAIVA,790.0,950.0,932.0,1119.0,1299.0,966.0,801.0,1038.0,742.0,997.0,954.0,1164.0,1299.0,1061.0,650.0,692.0
CELORICO-DE-BASTO,865.0,1155.0,1253.0,1250.0,1403.0,1243.0,978.0,1658.0,895.0,1170.0,1314.0,1322.0,1376.0,1239.0,766.0,1154.0
CINFAES,813.0,1040.0,1024.0,1240.0,1362.0,1183.0,1047.0,1665.0,869.0,1099.0,1066.0,1236.0,1375.0,1190.0,870.0,1166.0
FELGUEIRAS,2800.0,3917.0,3952.0,4435.0,4835.0,3701.0,2533.0,2940.0,2946.0,4076.0,3828.0,4285.0,4415.0,3501.0,2154.0,2102.0
LOUSADA,2573.0,3349.0,3213.0,4011.0,3927.0,2924.0,1865.0,2124.0,2773.0,3374.0,3213.0,3771.0,3729.0,2766.0,1676.0,1468.0
MARCO-DE-CANAVESES,2767.0,3565.0,3338.0,4215.0,4180.0,3200.0,2207.0,2937.0,2917.0,3680.0,3421.0,3967.0,4206.0,3037.0,1950.0,1908.0
PACOS-DE-FERREIRA,3164.0,3777.0,3746.0,4513.0,4838.0,3589.0,2346.0,2482.0,3260.0,4039.0,4027.0,4787.0,4706.0,3452.0,2191.0,1813.0
PENAFIEL,3720.0,4693.0,4622.0,5717.0,5728.0,4567.0,2992.0,3756.0,3876.0,4902.0,4622.0,5388.0,5534.0,4313.0,2730.0,2612.0
RESENDE,425.0,581.0,582.0,665.0,770.0,640.0,541.0,1006.0,465.0,701.0,574.0,624.0,787.0,619.0,470.0,687.0
ALIJO,378.0,447.0,561.0,536.0,709.0,768.0,756.0,1335.0,368.0,505.0,552.0,595.0,753.0,753.0,691.0,918.0
ARMAMAR,218.0,328.0,258.0,337.0,435.0,386.0,409.0,667.0,234.0,329.0,296.0,321.0,416.0,364.0,332.0,441.0
CARRAZEDA-DE-ANSIAES,188.0,229.0,243.0,305.0,310.0,416.0,472.0,776.0,162.0,237.0,285.0,304.0,357.0,374.0,418.0,588.0
